dimensionality_reduction,n_dimensions,n_layers,n_neurons,optimizer_type,learning_rate,epochs,accuracy
pca,50,2,50,sgd,0.01,20,0.03619999811053276
umap,10,1,20,adam,0.001,20,0.03619999811053276
pca,50,1,50,sgd,0.001,20,0.035599999129772186
pca,25,2,50,sgd,0.01,5,0.03539999946951866
pca,25,1,20,sgd,0.01,10,0.03539999946951866
pca,50,1,20,sgd,0.01,10,0.03539999946951866
umap,10,1,50,sgd,0.01,10,0.03539999946951866
umap,25,1,50,sgd,0.01,5,0.03539999946951866
pca,50,2,50,adam,0.001,10,0.03519999980926514
umap,25,1,20,adam,0.01,10,0.03500000014901161
pca,10,1,50,sgd,0.001,10,0.03480000048875809
pca,25,1,20,adam,0.01,20,0.03439999744296074
pca,50,2,50,adam,0.001,5,0.03439999744296074
pca,10,2,20,adam,0.001,10,0.034199997782707214
pca,10,2,20,sgd,0.001,10,0.034199997782707214
pca,50,1,50,sgd,0.01,20,0.034199997782707214
pca,25,2,50,sgd,0.01,10,0.034199997782707214
umap,25,1,50,sgd,0.01,10,0.034199997782707214
pca,10,2,20,adam,0.001,5,0.03399999812245369
pca,25,2,20,adam,0.01,5,0.03359999880194664
umap,10,1,20,sgd,0.01,10,0.033399999141693115
umap,25,1,20,adam,0.01,20,0.033399999141693115
pca,50,2,20,adam,0.01,20,0.03319999948143959
pca,50,1,20,sgd,0.01,20,0.03319999948143959
umap,25,2,20,sgd,0.01,20,0.032999999821186066
umap,50,1,50,adam,0.01,10,0.03219999745488167
umap,25,1,20,sgd,0.01,10,0.03179999813437462
umap,50,1,20,adam,0.01,10,0.03179999813437462
umap,50,2,20,adam,0.01,5,0.03179999813437462
umap,25,1,50,sgd,0.001,10,0.03179999813437462
umap,25,1,50,adam,0.01,10,0.03179999813437462
umap,25,2,20,adam,0.01,20,0.03179999813437462
umap,50,2,20,adam,0.001,5,0.03179999813437462
umap,50,2,50,sgd,0.001,20,0.03179999813437462
umap,10,2,20,adam,0.01,20,0.03179999813437462
pca,25,2,50,adam,0.01,10,0.03179999813437462
pca,50,2,20,adam,0.001,10,0.03179999813437462
pca,50,1,20,sgd,0.01,5,0.03179999813437462
umap,10,2,50,adam,0.01,5,0.03179999813437462
umap,10,1,50,adam,0.01,20,0.03179999813437462
pca,25,1,20,sgd,0.001,20,0.03179999813437462
pca,50,1,20,adam,0.001,20,0.031599998474121094
pca,50,1,50,adam,0.001,5,0.031599998474121094
pca,10,2,50,adam,0.001,20,0.031599998474121094
umap,10,1,50,sgd,0.001,5,0.03139999881386757
pca,10,1,20,sgd,0.001,5,0.031199999153614044
umap,10,1,20,sgd,0.001,5,0.030799999833106995
pca,25,1,50,adam,0.001,5,0.030799999833106995
umap,10,1,20,sgd,0.001,10,0.03059999831020832
umap,50,2,50,sgd,0.001,10,0.03059999831020832
umap,50,1,20,sgd,0.001,20,0.03059999831020832
pca,25,1,50,adam,0.001,20,0.029999999329447746
umap,10,2,50,sgd,0.001,20,0.02979999966919422
