dimensionality_reduction,n_dimensions,balancing_technique,n_layers,n_neurons,optimizer_type,learning_rate,epochs,valid_accuracy,valid_loss,train_accuracy,train_loss
none,1,none,0,50,adam,0.01,125,0.26759999990463257,2.494368076324463,0.2765111029148102,2.419409990310669
none,1,none,0,100,adam,0.1,100,0.2733999788761139,2.4944636821746826,0.295422226190567,2.341026782989502
none,1,oversample,0,50,adam,0.01,125,0.2671999931335449,2.494485855102539,0.27639999985694885,2.419600486755371
none,1,none,0,10,adam,0.01,125,0.2678000032901764,2.4946556091308594,0.27664443850517273,2.419771671295166
none,1,none,0,100,adam,0.01,125,0.2669999897480011,2.494715929031372,0.27639999985694885,2.420438766479492
none,1,oversample,0,10,adam,0.1,100,0.27300000190734863,2.4947926998138428,0.2950444519519806,2.341291904449463
none,1,oversample,0,10,adam,0.01,125,0.2671999931335449,2.4948980808258057,0.2763555645942688,2.4201571941375732
none,1,oversample,0,100,adam,0.01,125,0.2669999897480011,2.494900703430176,0.27631109952926636,2.419685125350952
none,1,none,2,50,adam,0.01,150,0.27639999985694885,2.494990825653076,0.30846667289733887,2.3312606811523438
none,1,undersample,0,10,adam,0.01,125,0.26759999990463257,2.4954872131347656,0.276155561208725,2.420248508453369
none,1,oversample,2,100,adam,0.001,175,0.2694000005722046,2.4955976009368896,0.28191110491752625,2.4359796047210693
none,1,undersample,0,100,adam,0.01,125,0.2669999897480011,2.495792865753174,0.27577778697013855,2.42047119140625
none,1,undersample,0,10,adam,0.1,125,0.2750000059604645,2.4972991943359375,0.2965555489063263,2.3377840518951416
none,1,none,2,50,adam,0.01,125,0.26759999990463257,2.4973182678222656,0.30204445123672485,2.356544017791748
none,1,oversample,0,50,adam,0.1,125,0.27619999647140503,2.4973554611206055,0.2964000105857849,2.337717056274414
none,1,oversample,0,100,adam,0.1,125,0.2759999930858612,2.497359275817871,0.2962000072002411,2.3377530574798584
none,1,none,0,10,adam,0.1,125,0.2766000032424927,2.4973626136779785,0.2964666783809662,2.3376457691192627
none,1,undersample,0,100,adam,0.1,125,0.2751999795436859,2.497443914413452,0.2965777814388275,2.3377034664154053
none,1,oversample,0,10,adam,0.1,125,0.27619999647140503,2.4974727630615234,0.29660001397132874,2.337632894515991
none,1,none,0,50,adam,0.1,125,0.27619999647140503,2.497483253479004,0.2964000105857849,2.3377954959869385
none,1,none,0,100,adam,0.1,125,0.2759999930858612,2.4977822303771973,0.29666668176651,2.3378522396087646
none,1,undersample,0,50,adam,0.1,125,0.27559998631477356,2.4977867603302,0.29666668176651,2.3376035690307617
none,1,none,1,50,adam,0.01,200,0.2735999822616577,2.4984569549560547,0.32393333315849304,2.24776029586792
none,1,oversample,2,100,adam,0.01,100,0.27300000190734863,2.4988489151000977,0.3051111102104187,2.3435070514678955
none,1,oversample,0,100,adam,0.1,150,0.27639999985694885,2.499826192855835,0.2980000078678131,2.3357861042022705
none,1,oversample,0,10,adam,0.1,150,0.27719998359680176,2.499876022338867,0.297733336687088,2.3357622623443604
none,1,none,0,10,adam,0.1,150,0.27619999647140503,2.499936103820801,0.2978222370147705,2.3358895778656006
none,1,undersample,0,100,adam,0.1,150,0.27639999985694885,2.499964475631714,0.29768890142440796,2.335798501968384
none,1,undersample,0,50,adam,0.1,150,0.27619999647140503,2.5000431537628174,0.2971999943256378,2.336033821105957
none,1,none,0,100,adam,0.1,150,0.2773999869823456,2.500049114227295,0.2977111041545868,2.335728883743286
none,1,oversample,0,50,adam,0.1,150,0.2757999897003174,2.500105857849121,0.29760000109672546,2.336015224456787
none,1,none,0,50,adam,0.1,150,0.27619999647140503,2.5001094341278076,0.29757776856422424,2.335834264755249
none,1,undersample,0,10,adam,0.1,150,0.27539998292922974,2.5001323223114014,0.29768890142440796,2.3358259201049805
none,1,undersample,2,100,adam,0.01,100,0.26980000734329224,2.5016767978668213,0.30024445056915283,2.3591372966766357
none,1,undersample,0,50,adam,0.1,175,0.2766000032424927,2.5018668174743652,0.29831111431121826,2.3347480297088623
none,1,oversample,0,50,adam,0.1,175,0.27719998359680176,2.5019261837005615,0.29822221398353577,2.3349387645721436
none,1,undersample,0,10,adam,0.1,175,0.27719998359680176,2.5020036697387695,0.2983333468437195,2.334765911102295
none,1,none,0,50,adam,0.1,175,0.27639999985694885,2.5020949840545654,0.29831111431121826,2.334850311279297
none,1,undersample,0,100,adam,0.1,175,0.2768000066280365,2.502122402191162,0.29837778210639954,2.3348073959350586
none,1,none,0,100,adam,0.1,175,0.27619999647140503,2.5021347999572754,0.298244446516037,2.3348100185394287
none,1,oversample,0,100,adam,0.1,175,0.27639999985694885,2.502143621444702,0.29831111431121826,2.334879159927368
none,1,none,0,10,adam,0.1,175,0.2766000032424927,2.502213954925537,0.29813334345817566,2.334827423095703
none,1,oversample,0,10,adam,0.1,175,0.27699998021125793,2.502271890640259,0.2984222173690796,2.3347928524017334
none,1,oversample,2,50,adam,0.01,100,0.27539998292922974,2.5024213790893555,0.2833999991416931,2.4254558086395264
none,1,undersample,2,50,adam,0.01,125,0.27300000190734863,2.5026872158050537,0.30293333530426025,2.3519978523254395
none,1,none,0,10,adam,0.1,200,0.2757999897003174,2.5036356449127197,0.29855555295944214,2.334301471710205
