dimensionality_reduction,n_dimensions,balancing_technique,n_layers,n_neurons,optimizer_type,learning_rate,epochs,valid_accuracy,valid_loss,train_accuracy,train_loss
none,1,oversample,0,50,adam,0.01,175,0.21119999885559082,2.7541682720184326,0.20453333854675293,2.739509344100952
none,1,undersample,0,10,adam,0.001,150,0.21119999885559082,2.7541768550872803,0.20453333854675293,2.740318536758423
none,1,none,0,50,adam,0.01,150,0.21119999885559082,2.7541840076446533,0.20453333854675293,2.7395541667938232
none,1,oversample,0,100,adam,0.01,175,0.21119999885559082,2.7541918754577637,0.20453333854675293,2.7395129203796387
none,1,oversample,0,10,adam,0.01,150,0.21119999885559082,2.7541985511779785,0.20453333854675293,2.739583730697632
none,1,none,0,100,adam,0.01,175,0.21119999885559082,2.754207134246826,0.20453333854675293,2.739558458328247
none,1,oversample,0,100,adam,0.001,150,0.21119999885559082,2.754213809967041,0.20453333854675293,2.740327835083008
none,1,oversample,0,100,adam,0.01,150,0.21119999885559082,2.754225492477417,0.20453333854675293,2.739588975906372
none,1,none,0,100,adam,0.01,150,0.21119999885559082,2.754260301589966,0.20453333854675293,2.7396583557128906
none,1,none,0,10,adam,0.01,150,0.21119999885559082,2.754279375076294,0.20453333854675293,2.739670515060425
none,1,undersample,0,100,adam,0.01,150,0.21119999885559082,2.754279851913452,0.20453333854675293,2.7396655082702637
none,1,undersample,0,10,adam,0.01,150,0.21119999885559082,2.7542827129364014,0.20453333854675293,2.7396535873413086
none,1,oversample,0,50,adam,0.001,150,0.21119999885559082,2.7542965412139893,0.20453333854675293,2.740323305130005
none,1,oversample,0,10,adam,0.001,150,0.21119999885559082,2.7542977333068848,0.20453333854675293,2.7402985095977783
none,1,undersample,0,100,adam,0.001,150,0.21119999885559082,2.754312038421631,0.20453333854675293,2.7403101921081543
none,1,none,2,10,adam,0.001,175,0.21119999885559082,2.754317045211792,0.20453333854675293,2.7405030727386475
none,1,undersample,0,50,adam,0.01,150,0.21119999885559082,2.7543184757232666,0.20453333854675293,2.7397005558013916
none,1,oversample,0,10,adam,0.01,100,0.21119999885559082,2.75433087348938,0.20453333854675293,2.7398526668548584
none,1,oversample,0,50,adam,0.01,150,0.21119999885559082,2.754331588745117,0.20453333854675293,2.7396798133850098
none,1,oversample,0,100,adam,0.01,125,0.21119999885559082,2.7543821334838867,0.20453333854675293,2.739783525466919
none,1,oversample,0,100,adam,0.001,80,0.21119999885559082,2.754405975341797,0.20453333854675293,2.743974208831787
none,1,undersample,0,100,adam,0.01,125,0.21119999885559082,2.7544174194335938,0.20453333854675293,2.739799737930298
none,1,none,0,10,adam,0.01,100,0.21119999885559082,2.7544212341308594,0.20453333854675293,2.7398488521575928
none,1,oversample,0,50,adam,0.01,125,0.21119999885559082,2.7544233798980713,0.20453333854675293,2.739776134490967
none,1,none,0,50,adam,0.001,150,0.21119999885559082,2.754425287246704,0.20453333854675293,2.7403035163879395
none,1,undersample,0,50,adam,0.01,125,0.21119999885559082,2.75443172454834,0.20453333854675293,2.739797353744507
none,1,oversample,0,50,adam,0.01,100,0.21119999885559082,2.754438638687134,0.20453333854675293,2.739854335784912
none,1,none,0,10,adam,0.01,125,0.21119999885559082,2.7544453144073486,0.20453333854675293,2.739794969558716
none,1,undersample,2,10,adam,0.01,80,0.21119999885559082,2.7544562816619873,0.20453333854675293,2.7403507232666016
